Deleting each line of seed to set location bias...............Done

Generation: 0
ExponentialSearchProblemTest_745 fit: 10101.0
ExponentialSearchProblemTest_744 fit: 1.0
ExponentialSearchProblemTest_743 fit: 34900.0
ExponentialSearchProblemTest_733 fit: 1.0
ExponentialSearchProblemTest_728 fit: 10100.259
ExponentialSearchProblemTest_763 fit: 34900.0
ExponentialSearchProblemTest_722 fit: 0.9927536
ExponentialSearchProblemTest_716 fit: 0.9927536
ExponentialSearchProblemTest_769 fit: 10100.259
ExponentialSearchProblemTest_767 fit: 34900.0
ExponentialSearchProblemTest_762 fit: 34900.0
ExponentialSearchProblemTest_754 fit: 10101.0
ExponentialSearchProblemTest_753 fit: 10100.259
ExponentialSearchProblemTest_752 fit: 10101.0
ExponentialSearchProblemTest_749 fit: 1901.0
ExponentialSearchProblemTest_747 fit: 10101.0
ExponentialSearchProblemTest_789 fit: 10101.015
ExponentialSearchProblemTest_787 fit: 34900.0
ExponentialSearchProblemTest_785 fit: 34900.0
ExponentialSearchProblemTest_783 fit: 1.0
ExponentialSearchProblemTest_780 fit: 1.0
ExponentialSearchProblemTest_774 fit: 1.0
ExponentialSearchProblemTest_772 fit: 10001.0
ExponentialSearchProblemTest_810 fit: 1.0
ExponentialSearchProblemTest_808 fit: 1.0
ExponentialSearchProblemTest_807 fit: 1.0
ExponentialSearchProblemTest_804 fit: 1.0
ExponentialSearchProblemTest_802 fit: 10100.979
ExponentialSearchProblemTest_800 fit: 10001.0
ExponentialSearchProblemTest_799 fit: 0.84782606
ExponentialSearchProblemTest_797 fit: 1.0
ExponentialSearchProblemTest_793 fit: 1.0
Generation: 3
ExponentialSearchProblemTest_877 fit: 10101.0
ExponentialSearchProblemTest_874 fit: 0.84782606
ExponentialSearchProblemTest_872 fit: 1.0
ExponentialSearchProblemTest_867 fit: 0.9927536
ExponentialSearchProblemTest_870 fit: 10101.007
ExponentialSearchProblemTest_865 fit: 2625.1956
ExponentialSearchProblemTest_900 fit: 10000.195
ExponentialSearchProblemTest_895 fit: 10101.0
ExponentialSearchProblemTest_893 fit: 34900.0
ExponentialSearchProblemTest_889 fit: 10100.979
ExponentialSearchProblemTest_886 fit: 10100.195
ExponentialSearchProblemTest_882 fit: 10101.0
ExponentialSearchProblemTest_878 fit: 34900.0
ExponentialSearchProblemTest_926 fit: 1.0
ExponentialSearchProblemTest_924 fit: 10100.286
ExponentialSearchProblemTest_922 fit: 10101.007
ExponentialSearchProblemTest_912 fit: 10101.0
ExponentialSearchProblemTest_909 fit: 100.985504
ExponentialSearchProblemTest_906 fit: 10001.0
ExponentialSearchProblemTest_904 fit: 10100.993
ExponentialSearchProblemTest_903 fit: 2525.1956
ExponentialSearchProblemTest_901 fit: 0.84782606
ExponentialSearchProblemTest_948 fit: 10100.182
ExponentialSearchProblemTest_944 fit: 0.9927536
ExponentialSearchProblemTest_940 fit: 0.9927536
ExponentialSearchProblemTest_937 fit: 10100.269
ExponentialSearchProblemTest_933 fit: 34900.0
ExponentialSearchProblemTest_931 fit: 34900.0
ExponentialSearchProblemTest_969 fit: 0.98550725
ExponentialSearchProblemTest_963 fit: 10101.0
ExponentialSearchProblemTest_959 fit: 34900.0
ExponentialSearchProblemTest_958 fit: 34900.0
ExponentialSearchProblemTest_952 fit: 10100.259
ExponentialSearchProblemTest_988 fit: 10100.979
ExponentialSearchProblemTest_986 fit: 10001.0
ExponentialSearchProblemTest_983 fit: 10101.0
ExponentialSearchProblemTest_981 fit: 10100.848
ExponentialSearchProblemTest_979 fit: 2525.1956
ExponentialSearchProblemTest_977 fit: 0.9927536
ExponentialSearchProblemTest_976 fit: 10100.993
ExponentialSearchProblemTest_973 fit: 0.19565217
ExponentialSearchProblemTest_972 fit: 10101.0
ExponentialSearchProblemTest_1010 fit: 34900.0
ExponentialSearchProblemTest_1006 fit: 10100.848
ExponentialSearchProblemTest_1003 fit: 0.19565217
ExponentialSearchProblemTest_1018 fit: 34900.0
ExponentialSearchProblemTest_998 fit: 0.9927536
ExponentialSearchProblemTest_994 fit: 10100.993
ExponentialSearchProblemTest_990 fit: 10101.0
ExponentialSearchProblemTest_1031 fit: 10100.282
ExponentialSearchProblemTest_1028 fit: 10100.195
ExponentialSearchProblemTest_1026 fit: 10100.246
ExponentialSearchProblemTest_1024 fit: 0.9927536
ExponentialSearchProblemTest_1012 fit: 34900.0
ExponentialSearchProblemTest_1014 fit: 34900.0
ExponentialSearchProblemTest_1015 fit: 34900.0
