Deleting each line of seed to set location bias...............Done

Generation: 0
JumpSearchProblemTest_910 fit: 10100.974
JumpSearchProblemTest_907 fit: 10100.978
JumpSearchProblemTest_902 fit: 10101.226
JumpSearchProblemTest_900 fit: 0.99346405
JumpSearchProblemTest_893 fit: 34900.0
JumpSearchProblemTest_897 fit: 10100.723
JumpSearchProblemTest_895 fit: 34900.0
JumpSearchProblemTest_934 fit: 10100.971
JumpSearchProblemTest_932 fit: 10100.301
JumpSearchProblemTest_929 fit: 34900.0
JumpSearchProblemTest_924 fit: 7.5522876
JumpSearchProblemTest_920 fit: 10101.003
JumpSearchProblemTest_919 fit: 4.3202615
JumpSearchProblemTest_916 fit: 1.3594772
JumpSearchProblemTest_914 fit: 34900.0
JumpSearchProblemTest_963 fit: 5.4117646
JumpSearchProblemTest_961 fit: 4.3366013
JumpSearchProblemTest_954 fit: 1.0
JumpSearchProblemTest_952 fit: 0.99346405
JumpSearchProblemTest_947 fit: 10100.539
JumpSearchProblemTest_976 fit: 34900.0
JumpSearchProblemTest_944 fit: 10101.003
JumpSearchProblemTest_939 fit: 5.372549
JumpSearchProblemTest_935 fit: 18580.012
JumpSearchProblemTest_987 fit: 1.0
JumpSearchProblemTest_984 fit: 10100.114
JumpSearchProblemTest_979 fit: 1.0
JumpSearchProblemTest_975 fit: 34900.0
JumpSearchProblemTest_972 fit: 1.0
JumpSearchProblemTest_970 fit: 1.0
JumpSearchProblemTest_968 fit: 10100.51
JumpSearchProblemTest_965 fit: 5.281046
JumpSearchProblemTest_1004 fit: 0.99346405
JumpSearchProblemTest_1002 fit: 10101.0
JumpSearchProblemTest_1000 fit: 34900.0
JumpSearchProblemTest_998 fit: 34900.0
JumpSearchProblemTest_993 fit: 10100.114
JumpSearchProblemTest_992 fit: 1.3954248
JumpSearchProblemTest_990 fit: 10105.771
JumpSearchProblemTest_1018 fit: 10100.974
JumpSearchProblemTest_1015 fit: 1.7058823
JumpSearchProblemTest_1014 fit: 20001.004
JumpSearchProblemTest_1013 fit: 5.640523
JumpSearchProblemTest_1012 fit: 10106.902
JumpSearchProblemTest_1008 fit: 10100.078
JumpSearchProblemTest_1006 fit: 10100.0625
JumpSearchProblemTest_1036 fit: 10100.141
JumpSearchProblemTest_1033 fit: 10100.532
JumpSearchProblemTest_1032 fit: 10100.532
JumpSearchProblemTest_1030 fit: 1.0
JumpSearchProblemTest_1027 fit: 10105.529
JumpSearchProblemTest_1046 fit: 34900.0
Generation: 4
JumpSearchProblemTest_1063 fit: 0.99346405
JumpSearchProblemTest_1073 fit: 9900.102
JumpSearchProblemTest_1072 fit: 5.640523
JumpSearchProblemTest_1071 fit: 5.5751634
JumpSearchProblemTest_1070 fit: 1.0
JumpSearchProblemTest_1068 fit: 5.6503267
JumpSearchProblemTest_1069 fit: 10101.003
JumpSearchProblemTest_1062 fit: 10105.532
JumpSearchProblemTest_1094 fit: 34900.0
JumpSearchProblemTest_1093 fit: 10100.167
JumpSearchProblemTest_1090 fit: 10101.713
JumpSearchProblemTest_1089 fit: 10100.83
JumpSearchProblemTest_1084 fit: 5.281046
JumpSearchProblemTest_1083 fit: 7.5522876
JumpSearchProblemTest_1081 fit: 10100.51
JumpSearchProblemTest_1079 fit: 0.99346405
JumpSearchProblemTest_1076 fit: 1.0098039
JumpSearchProblemTest_1112 fit: 2529.0369
JumpSearchProblemTest_1109 fit: 5.5947714
JumpSearchProblemTest_1107 fit: 4.2026143
JumpSearchProblemTest_1104 fit: 5.281046
JumpSearchProblemTest_1100 fit: 4.6797385
JumpSearchProblemTest_1097 fit: 1.0
JumpSearchProblemTest_1096 fit: 34900.0
JumpSearchProblemTest_1137 fit: 10100.997
JumpSearchProblemTest_1135 fit: 10100.124
JumpSearchProblemTest_1130 fit: 10107.131
JumpSearchProblemTest_1114 fit: 34900.0
JumpSearchProblemTest_1117 fit: 34900.0
JumpSearchProblemTest_1121 fit: 34900.0
JumpSearchProblemTest_1123 fit: 34900.0
JumpSearchProblemTest_1126 fit: 34900.0
JumpSearchProblemTest_1129 fit: 34900.0
JumpSearchProblemTest_1156 fit: 10100.393
JumpSearchProblemTest_1154 fit: 10100.529
JumpSearchProblemTest_1151 fit: 0.96732026
JumpSearchProblemTest_1145 fit: 1.3594772
JumpSearchProblemTest_1140 fit: 34900.0
JumpSearchProblemTest_1143 fit: 1.7189542
JumpSearchProblemTest_1182 fit: 10100.549
JumpSearchProblemTest_1177 fit: 1.6732026
JumpSearchProblemTest_1173 fit: 34900.0
JumpSearchProblemTest_1169 fit: 10105.532
JumpSearchProblemTest_1163 fit: 10100.078
JumpSearchProblemTest_1160 fit: 7.5522876
JumpSearchProblemTest_1204 fit: 1.7320261
JumpSearchProblemTest_1202 fit: 10100.098
JumpSearchProblemTest_1199 fit: 6.895425
JumpSearchProblemTest_1198 fit: 6.140523
JumpSearchProblemTest_1195 fit: 10101.003
JumpSearchProblemTest_1193 fit: 10203.9375
JumpSearchProblemTest_1190 fit: 10105.343
JumpSearchProblemTest_1189 fit: 10100.843
JumpSearchProblemTest_1188 fit: 1.0098039
JumpSearchProblemTest_1186 fit: 1.0
JumpSearchProblemTest_1228 fit: 5.281046
JumpSearchProblemTest_1226 fit: 10100.393
JumpSearchProblemTest_1221 fit: 10101.013
JumpSearchProblemTest_1218 fit: 4.3202615
JumpSearchProblemTest_1215 fit: 5.281046
JumpSearchProblemTest_1212 fit: 1.6666666
JumpSearchProblemTest_1207 fit: 5.281046
JumpSearchProblemTest_1250 fit: 4.6797385
JumpSearchProblemTest_1247 fit: 10101.478
JumpSearchProblemTest_1245 fit: 1.0
JumpSearchProblemTest_1240 fit: 18882.87
JumpSearchProblemTest_1237 fit: 0.99346405
JumpSearchProblemTest_1236 fit: 10101.085
JumpSearchProblemTest_1232 fit: 5.372549
JumpSearchProblemTest_1231 fit: 10100.085
JumpSearchProblemTest_1264 fit: 10101.692
JumpSearchProblemTest_1262 fit: 10100.539
JumpSearchProblemTest_1259 fit: 4.6797385
JumpSearchProblemTest_1257 fit: 5.5751634
JumpSearchProblemTest_1254 fit: 0.99019605
JumpSearchProblemTest_1252 fit: 0.99346405
JumpSearchProblemTest_1282 fit: 10100.532
